"","WBIC","LAKE_NAME","UNIQUE_ID","BRANCH","TOUCH_SHORE","IN_WATER","LATITUDE","LONGITUDE"
"114",2328700,"Papoose Lake",23287001818,1,0,1,46.191786,-89.805366
"115",2328700,"Papoose Lake",23287001918,1,0,1,46.191846,-89.805355
"116",2328700,"Papoose Lake",23287002018,1,1,0,46.19194,-89.805281
"117",2328700,"Papoose Lake",23287002118,0,0,1,46.192111,-89.805284
"118",2328700,"Papoose Lake",23287002218,0,0,0,46.192174,-89.805305
"119",2328700,"Papoose Lake",23287002318,1,1,0,46.192305,-89.805279
"120",2328700,"Papoose Lake",23287002418,0,0,1,46.192321,-89.805272
"121",2328700,"Papoose Lake",23287002518,2,1,0,46.192457,-89.805209
"122",2328700,"Papoose Lake",23287002618,2,1,1,46.192453,-89.805223
"123",2328700,"Papoose Lake",23287002718,2,1,1,46.192473,-89.80524
"124",2328700,"Papoose Lake",23287002818,0,0,1,46.192524,-89.805219
"125",2328700,"Papoose Lake",23287002918,0,0,1,46.192549,-89.805218
"126",2328700,"Papoose Lake",23287003018,0,1,1,46.19262,-89.805203
"127",2328700,"Papoose Lake",23287003118,0,0,1,46.192669,-89.805195
"128",2328700,"Papoose Lake",23287003218,0,1,1,46.192676,-89.805186
"129",2328700,"Papoose Lake",23287003318,0,1,1,46.192685,-89.805188
"130",2328700,"Papoose Lake",23287003418,0,1,1,46.192768,-89.805144
"131",2328700,"Papoose Lake",23287003518,0,1,0,46.192848,-89.805083
"132",2328700,"Papoose Lake",23287003618,0,1,0,46.192857,-89.805069
"133",2328700,"Papoose Lake",23287003718,0,1,1,46.192864,-89.805059
"134",2328700,"Papoose Lake",23287003818,0,0,1,46.192877,-89.805049
"135",2328700,"Papoose Lake",23287003918,2,1,0,46.193021,-89.804982
"136",2328700,"Papoose Lake",23287004018,0,0,1,46.193038,-89.804893
"137",2328700,"Papoose Lake",23287004118,0,0,1,46.193076,-89.804847
"138",2328700,"Papoose Lake",23287004218,0,0,1,46.193141,-89.804728
"139",2328700,"Papoose Lake",23287004318,0,1,0,46.19319,-89.804629
"140",2328700,"Papoose Lake",23287004418,1,1,1,46.193189,-89.80464
"141",2328700,"Papoose Lake",23287004518,0,1,1,46.193228,-89.804509
"142",2328700,"Papoose Lake",23287004618,0,1,0,46.193237,-89.804496
"143",2328700,"Papoose Lake",23287004718,0,0,1,46.193261,-89.804407
"144",2328700,"Papoose Lake",23287004818,2,1,0,46.193281,-89.804247
"145",2328700,"Papoose Lake",23287004918,0,0,1,46.193302,-89.804176
"146",2328700,"Papoose Lake",23287005018,0,1,1,46.193414,-89.803957
"147",2328700,"Papoose Lake",23287005118,0,1,0,46.193497,-89.803806
"148",2328700,"Papoose Lake",23287005218,0,1,0,46.193507,-89.803793
"149",2328700,"Papoose Lake",23287005318,0,0,0,46.193559,-89.803718
"150",2328700,"Papoose Lake",23287005418,0,1,1,46.193627,-89.803647
"151",2328700,"Papoose Lake",23287005518,0,0,1,46.193697,-89.803583
"152",2328700,"Papoose Lake",23287005618,0,1,1,46.193762,-89.803536
"153",2328700,"Papoose Lake",23287005718,0,1,0,46.193805,-89.803522
"154",2328700,"Papoose Lake",23287005818,2,1,0,46.193901,-89.80347
"155",2328700,"Papoose Lake",23287005918,0,0,1,46.19394,-89.80345
"156",2328700,"Papoose Lake",23287006018,0,1,0,46.19405,-89.803392
"157",2328700,"Papoose Lake",23287006118,0,1,1,46.19415,-89.803338
"158",2328700,"Papoose Lake",23287006218,0,0,1,46.194204,-89.80329
"159",2328700,"Papoose Lake",23287006318,0,1,1,46.194225,-89.80328
"160",2328700,"Papoose Lake",23287006418,2,1,0,46.194241,-89.803239
"161",2328700,"Papoose Lake",23287006518,2,1,0,46.194362,-89.803071
"162",2328700,"Papoose Lake",23287006618,0,1,1,46.194403,-89.803005
"163",2328700,"Papoose Lake",23287006718,0,0,0,46.194555,-89.80287
"164",2328700,"Papoose Lake",23287006818,1,1,1,46.194601,-89.802838
"165",2328700,"Papoose Lake",23287006918,0,0,1,46.194638,-89.80281
"166",2328700,"Papoose Lake",23287007018,0,0,1,46.194952,-89.802614
"167",2328700,"Papoose Lake",23287007118,2,1,0,46.19549,-89.803033
"168",2328700,"Papoose Lake",23287007218,2,1,0,46.195499,-89.803206
"169",2328700,"Papoose Lake",23287007318,2,1,1,46.195501,-89.803229
"170",2328700,"Papoose Lake",23287007418,2,1,0,46.195504,-89.803252
"171",2328700,"Papoose Lake",23287007518,0,1,1,46.195512,-89.803493
"172",2328700,"Papoose Lake",23287007618,1,1,0,46.195512,-89.803627
"173",2328700,"Papoose Lake",23287007718,1,0,1,46.195527,-89.803742
"174",2328700,"Papoose Lake",23287007818,0,0,1,46.195529,-89.803787
"175",2328700,"Papoose Lake",23287007918,0,0,1,46.195537,-89.80384
"176",2328700,"Papoose Lake",23287008018,2,1,0,46.195566,-89.803824
"177",2328700,"Papoose Lake",23287008118,2,1,0,46.19561,-89.803872
"178",2328700,"Papoose Lake",23287008218,2,1,0,46.195627,-89.803886
"179",2328700,"Papoose Lake",23287008318,0,0,1,46.195726,-89.803908
"180",2328700,"Papoose Lake",23287008418,1,0,1,46.195824,-89.803881
"181",2328700,"Papoose Lake",23287008518,0,0,1,46.196846,-89.80392
"182",2328700,"Papoose Lake",23287008618,2,1,0,46.197171,-89.803895
"183",2328700,"Papoose Lake",23287008718,2,1,0,46.197215,-89.803692
"184",2328700,"Papoose Lake",23287008818,2,1,0,46.197232,-89.803648
"185",2328700,"Papoose Lake",23287008918,1,1,1,46.19778,-89.803407
"186",2328700,"Papoose Lake",23287009018,2,1,0,46.197796,-89.803316
"187",2328700,"Papoose Lake",23287009118,2,1,0,46.197804,-89.803304
"188",2328700,"Papoose Lake",23287009218,2,1,0,46.197809,-89.803293
"189",2328700,"Papoose Lake",23287009318,1,1,0,46.197822,-89.803178
"190",2328700,"Papoose Lake",23287009418,0,1,1,46.19777,-89.80159
"191",2328700,"Papoose Lake",23287009518,1,0,1,46.19768,-89.801333
"192",2328700,"Papoose Lake",23287009618,0,1,1,46.197494,-89.801686
"193",2328700,"Papoose Lake",23287009718,1,1,1,46.197279,-89.80234
"194",2328700,"Papoose Lake",23287009818,2,1,0,46.197076,-89.802652
"195",2328700,"Papoose Lake",23287009918,2,1,0,46.196975,-89.802771
"196",2328700,"Papoose Lake",232870010018,0,0,1,46.196302,-89.802796
"197",2328700,"Papoose Lake",232870010118,0,0,1,46.19605,-89.802716
"198",2328700,"Papoose Lake",232870010218,0,0,1,46.196027,-89.802704
"199",2328700,"Papoose Lake",232870010318,0,0,1,46.196027,-89.801171
"200",2328700,"Papoose Lake",232870010418,1,1,0,46.196051,-89.801062
"201",2328700,"Papoose Lake",232870010518,0,1,0,46.196049,-89.800758
"202",2328700,"Papoose Lake",232870010618,1,1,1,46.196033,-89.800643
"203",2328700,"Papoose Lake",232870010718,0,1,0,46.195922,-89.80057
"204",2328700,"Papoose Lake",232870010818,1,0,0,46.195904,-89.800576
"205",2328700,"Papoose Lake",232870010918,2,1,0,46.195888,-89.800604
"206",2328700,"Papoose Lake",232870011018,0,1,1,46.195623,-89.801065
"207",2328700,"Papoose Lake",232870011118,0,1,0,46.19526,-89.801448
"208",2328700,"Papoose Lake",232870011218,0,1,0,46.195084,-89.801747
"209",2328700,"Papoose Lake",232870011318,0,1,0,46.195056,-89.801734
"210",2328700,"Papoose Lake",232870011418,2,1,0,46.194864,-89.801622
"211",2328700,"Papoose Lake",232870011518,2,1,0,46.194658,-89.8015
"212",2328700,"Papoose Lake",232870011618,0,1,0,46.194502,-89.801458
"213",2328700,"Papoose Lake",232870011718,0,1,0,46.194379,-89.801418
"214",2328700,"Papoose Lake",232870011818,0,1,1,46.194132,-89.801287
"215",2328700,"Papoose Lake",232870011918,1,1,1,46.193654,-89.800724
"216",2328700,"Papoose Lake",232870012018,0,1,1,46.193643,-89.80069
"217",2328700,"Papoose Lake",232870012118,0,1,1,46.193616,-89.800637
"218",2328700,"Papoose Lake",232870012218,0,1,1,46.19357,-89.800568
"219",2328700,"Papoose Lake",232870012318,0,1,1,46.193135,-89.800065
"220",2328700,"Papoose Lake",232870012418,0,1,1,46.192996,-89.799787
"221",2328700,"Papoose Lake",232870012518,2,1,0,46.192971,-89.799443
"222",2328700,"Papoose Lake",232870012618,2,1,0,46.193094,-89.799083
"223",2328700,"Papoose Lake",232870012718,1,1,0,46.1931,-89.799067
"224",2328700,"Papoose Lake",232870012818,1,1,0,46.193109,-89.799048
"225",2328700,"Papoose Lake",232870012918,2,1,0,46.193147,-89.799001
"226",2328700,"Papoose Lake",232870013018,1,1,1,46.193263,-89.798863
"227",2328700,"Papoose Lake",232870013118,1,1,0,46.193267,-89.798851
"228",2328700,"Papoose Lake",232870013218,0,1,0,46.193262,-89.798803
"229",2328700,"Papoose Lake",232870013318,0,1,0,46.193265,-89.798795
"230",2328700,"Papoose Lake",232870013418,0,0,1,46.193065,-89.798326
"231",2328700,"Papoose Lake",232870013518,2,1,0,46.193048,-89.798204
"232",2328700,"Papoose Lake",232870013618,1,1,0,46.192898,-89.797656
"233",2328700,"Papoose Lake",232870013718,0,1,0,46.192908,-89.797603
"234",2328700,"Papoose Lake",232870013818,0,1,1,46.192915,-89.797559
"235",2328700,"Papoose Lake",232870013918,1,1,0,46.192971,-89.797269
"236",2328700,"Papoose Lake",232870014018,0,1,1,46.192971,-89.797248
"237",2328700,"Papoose Lake",232870014118,0,1,1,46.192987,-89.796991
"238",2328700,"Papoose Lake",232870014218,0,1,0,46.19278,-89.797774
"239",2328700,"Papoose Lake",232870014318,0,1,1,46.192695,-89.798031
"240",2328700,"Papoose Lake",232870014418,2,1,1,46.192628,-89.798139
"241",2328700,"Papoose Lake",232870014518,0,0,1,46.192485,-89.798317
"242",2328700,"Papoose Lake",232870014618,0,0,0,46.192252,-89.798528
"243",2328700,"Papoose Lake",232870014718,1,1,0,46.191753,-89.798566
"244",2328700,"Papoose Lake",232870014818,0,0,1,46.192042,-89.799225
"245",2328700,"Papoose Lake",232870014918,0,1,1,46.192345,-89.799789
"246",2328700,"Papoose Lake",232870015018,2,1,0,46.192378,-89.79987
"247",2328700,"Papoose Lake",232870015118,0,0,0,46.1925,-89.800285
"248",2328700,"Papoose Lake",232870015218,0,1,1,46.1925,-89.800323
"249",2328700,"Papoose Lake",232870015318,0,0,1,46.192499,-89.800359
"250",2328700,"Papoose Lake",232870015418,0,0,1,46.192435,-89.800715
"251",2328700,"Papoose Lake",232870015518,0,0,1,46.19235,-89.801094
"252",2328700,"Papoose Lake",232870015618,0,0,1,46.192316,-89.801336
"253",2328700,"Papoose Lake",232870015718,0,0,1,46.191577,-89.80201
"254",2328700,"Papoose Lake",232870015818,2,1,0,46.191422,-89.80207
"255",2328700,"Papoose Lake",232870015918,0,0,1,46.191134,-89.802117
"256",2328700,"Papoose Lake",232870016018,0,1,1,46.190359,-89.801779
"257",2328700,"Papoose Lake",232870016118,1,0,1,46.190334,-89.801751
"258",2328700,"Papoose Lake",232870016218,1,1,0,46.189856,-89.801216
"259",2328700,"Papoose Lake",232870016318,1,1,0,46.189829,-89.801208
"260",2328700,"Papoose Lake",232870016418,1,1,0,46.189808,-89.801202
"261",2328700,"Papoose Lake",232870016518,1,0,1,46.189291,-89.800984
